"K-Core","TentativeSIC","acronym","activityType","barPower","betwCentrality","birthDate","call","city","commDate","country","ecContribution","ecMaxContribution","endDate","endOfParticipation","fundingScheme","intimacy","manager","moneyTogether","myMoney","name","numPartners","numProjects","objective","orgId","organizationUrl","postCode","programme","projectNode","projectUrl","projectsTogether","rcn","relationshipValue","role","shortName","stableDegree","stablePartners","startDate","status","street","topics","totMoney","totalCost","wBarPower","weightedBarPower"
1.2911e+08,,,"REC",0,514111,0,,"PARIS",0,"FR",0,0,,false,,0,false,0,0,"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS",1774,496,,"999997930",,,,false,,0,,0,,"CNRS",1146,573,,,"RUE MICHEL ANGE 3",,3.54979e+08,0,0,0.0162385
1.2911e+08,,,"REC",0,53594.3,0,,"LEUVEN",0,"BE",0,0,,false,,0,false,0,0,"INTERUNIVERSITAIR MICRO-ELECTRONICACENTRUM IMEC VZW",779,86,,"999981149",,,,false,,0,,0,,"IMEC",282,141,,,"KAPELDREEF 75",,9.28043e+07,0,0,0.0959972
1.2911e+08,,,"OTH",0,169048,0,,"DEN HAAG",0,"NL",0,0,,false,,0,false,0,0,"NEDERLANDSE ORGANISATIE VOOR TOEGEPAST NATUURWETENSCHAPPELIJK ONDERZOEK TNO",1235,109,,"999988909",,,,false,,0,,0,,"NETHERLANDS ORGANISATION FORAPPLIED SCIENTIFIC RESEARCH",444,222,,,"ANNA VAN BUERENPLEIN 1",,5.56944e+07,0,0,0.0196844
1.2911e+08,,,"HES",0,58308.5,0,,"CAMBRIDGE",0,"UK",0,0,,false,,0,false,0,0,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE",729,263,,"999977172",,,,false,,0,,0,,"UCAM",380,190,,,"TRINITY LANE THE OLD SCHOOLS",,1.75376e+08,0,0,0.00794028
1.2911e+08,,,"HES",0,87680.2,0,,"OXFORD",0,"UK",0,0,,false,,0,false,0,0,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",953,250,,"999984350",,,,false,,0,,0,,"UOXF",470,235,,,"University Offices, Wellington Square",,1.72487e+08,0,0,0.0171132
1.2911e+08,,,"REC",0,235096,0,,"MADRID",0,"ES",0,0,,false,,0,false,0,0,"AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS",1530,233,,"999991722",,,,false,,0,,0,,"CSIC",804,402,,,"CALLE SERRANO 117",,1.09318e+08,0,0,0.00459687
1.2911e+08,,,"HES",0,57587.8,0,,"EINDHOVEN",0,"NL",0,0,,false,,0,false,0,0,"TECHNISCHE UNIVERSITEIT EINDHOVEN",811,100,,"999977269",,,,false,,0,,0,,"TU/e",316,158,,,"GROENE LOPER 5",,5.46412e+07,0,0,0.00785472
1.2911e+08,,,"REC",0,468603,0,,"ROMA",0,"IT",0,0,,false,,0,false,0,0,"CONSIGLIO NAZIONALE DELLE RICERCHE",1867,244,,"999979500",,,,false,,0,,0,,"CNR",1016,508,,,"PIAZZALE ALDO MORO 7",,1.12355e+08,0,0,0.0163659
1.2911e+08,,,"HES",0,45602.7,0,,"MANCHESTER",0,"UK",0,0,,false,,0,false,0,0,"THE UNIVERSITY OF MANCHESTER",771,119,,"999903840",,,,false,,0,,0,,"UNIMAN",344,172,,,"OXFORD ROAD UNIVERSITY OF MANCHESTER OFFICE OF DIRECTOR OF FINANCE",,7.02672e+07,0,0,0.014056
1.2911e+08,,,"HES",0,81742.9,0,,"ZUERICH",0,"CH",0,0,,false,,0,false,0,0,"EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH",1002,141,,"999979015",,,,false,,0,,0,,"ETH Zurich",488,244,,,"Raemistrasse  101",,7.23842e+07,0,0,-0.0321157
1.2911e+08,,,"HES",0,122720,0,,"LONDON",0,"UK",0,0,,false,,0,false,0,0,"UNIVERSITY COLLEGE LONDON",1169,240,,"999975620",,,,false,,0,,0,,"UCL",514,257,,,"GOWER STREET",,1.60721e+08,0,0,0.019458
1.2911e+08,,,"HES",0,89298.4,0,,"LONDON",0,"UK",0,0,,false,,0,false,0,0,"IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE",986,187,,"999993468",,,,false,,0,,0,,"IMPERIAL",424,212,,,"SOUTH KENSINGTON CAMPUS EXHIBITION ROAD",,1.18183e+08,0,0,0.0258982
1.2911e+08,,,"REC",0,1.18555e+06,0,,"MUNCHEN",0,"DE",0,0,,false,,0,false,0,0,"FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.",3143,403,,"999984059",,,,false,,0,,0,,"Fraunhofer",1408,704,,,"HANSASTRASSE 27C",,2.2223e+08,0,0,0.0228752
1.2911e+08,,,"HES",0,51992.7,0,,"GOETEBORG",0,"SE",0,0,,false,,0,false,0,0,"CHALMERS TEKNISKA HOEGSKOLA AB",815,81,,"999980373",,,,false,,0,,0,,"CHALMERS",280,140,,,"-",,4.53599e+07,0,0,0.0219694
1.2911e+08,,,"HES",0,88016.6,0,,"LEUVEN",0,"BE",0,0,,false,,0,false,0,0,"KATHOLIEKE UNIVERSITEIT LEUVEN",927,167,,"999991334",,,,false,,0,,0,,"KU Leuven",398,199,,,"Oude Markt  13",,9.99082e+07,0,0,0.0153201
