"stableDegree";"stablePartners";"K-Core";"TentativeSIC";"acronym";"activityType";"barPower";"betwCentrality";"birthDate";"call";"city";"commDate";"country";"ecContribution";"ecMaxContribution";"endDate";"endOfParticipation";"fundingScheme";"intimacy";"manager";"moneyTogether";"myMoney";"name";"numPartners";"numProjects";"objective";"orgId";"organizationUrl";"postCode";"programme";"projectNode";"projectUrl";"projectsTogether";"rcn";"relationshipValue";"role";"shortName";"startDate";"status";"street";"topics";"totMoney";"totalCost";"wBarPower";"weightedBarPower"
50;25;0;;;"HES";0;6414.49;0;;"PLYMOUTH";0;"UK";0;0;;false;;0;false;0;0;"UNIVERSITY OF PLYMOUTH";241;25;;"999854661";;;;false;;0;;0;;"UOP";;;"DRAKE CIRCUS";;7.66444e+06;0;0;-0.010352
42;21;0;;;"HES";0;95.0965;0;;"BERLIN";0;"DE";0;0;;false;;0;false;0;0;"HUMBOLDT-UNIVERSITAET ZU BERLIN";181;22;;"999850781";;;;false;;0;;0;;"UBER";;;"UNTER DEN LINDEN  6";;1.53921e+07;0;0;0.00372283
56;28;0;;;"HES";0;3448.03;0;;"YORK NORTH YORKSHIRE";0;"UK";0;0;;false;;0;false;0;0;"UNIVERSITY OF YORK";237;50;;"999978336";;;;false;;0;;0;;"UoY";;;"HESLINGTON";;2.47888e+07;0;0;0.0332179
80;40;0;;;"REC";0;2203.47;0;;"BARCELONA";0;"ES";0;0;;false;;0;false;0;0;"FUNDACIO CENTRE DE REGULACIO GENOMICA";177;27;;"999544455";;;;false;;0;;0;;"CRG";;;"CARRER DOCTOR AIGUADER 88";;1.98413e+07;0;0;0.0407875
46;23;0;;;"HES";0;945.496;0;;"LONDON";0;"UK";0;0;;false;;0;false;0;0;"LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE";238;39;;"999861063";;;;false;;0;;0;;"LSE";;;"Houghton Street 1";;2.47373e+07;0;0;-0.0164779
18;9;0;;;"HES";0;42.21;0;;"BREMEN";0;"DE";0;0;;false;;0;false;0;0;"JACOBS UNIVERSITY BREMEN GGMBH";124;9;;"999897147";;;;false;;0;;0;;"JacobsUni";;;"Campus Ring  1";;6.25106e+06;0;0;0.00999709
54;27;0;;;"REC";0;2248.3;0;;"PLYMOUTH";0;"UK";0;0;;false;;0;false;0;0;"PLYMOUTH MARINE LABORATORY";138;8;;"999484024";;;;false;;0;;0;;"PML";;;"Prospect Place, The Hoe";;3.05774e+06;0;0;-0.00381389
106;53;0;;;"OTH";0;2715.45;0;;"READING";0;"UK";0;0;;false;;0;false;0;0;"EUROPEAN CENTRE FOR MEDIUM-RANGE WEATHER FORECASTS";234;18;;"999916741";;;;false;;0;;0;;"ECMWF";;;"SHINFIELD PARK";;1.05116e+07;0;0;0.0289809
2;1;0;;;"PRC";0;0;0;;"FERRARA";0;"IT";0;0;;false;;0;false;0;0;"METEOROLOGICAL AND ENVIRONMENTAL EARTH OBSERVATION SRL";61;3;;"972294439";;;;false;;0;;0;;"MEEO";;;"VIALE VOLANO 195A IN2";;1.00146e+06;0;0;-0.0105031
1146;573;0;;;"REC";0;514111;0;;"PARIS";0;"FR";0;0;;false;;0;false;0;0;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS";1774;496;;"999997930";;;;false;;0;;0;;"CNRS";;;"RUE MICHEL ANGE 3";;3.54979e+08;0;0;0.0162385
170;85;0;;;"HES";0;26706.6;0;;"NEWCASTLE UPON TYNE";0;"UK";0;0;;false;;0;false;0;0;"UNIVERSITY OF NEWCASTLE UPON TYNE";519;77;;"999985417";;;;false;;0;;0;;"UNEW";;;"KINGS GATE";;3.50179e+07;0;0;0.0225312
80;40;0;;;"HES";0;4958.07;0;;"COIMBRA";0;"PT";0;0;;false;;0;false;0;0;"UNIVERSIDADE DE COIMBRA";218;25;;"997826391";;;;false;;0;;0;;"UC";;;"PACO DAS ESCOLAS";;9.02028e+06;0;0;-0.00840559
114;57;0;;;"HES";0;3199.45;0;;"GRONINGEN";0;"NL";0;0;;false;;0;false;0;0;"ACADEMISCH ZIEKENHUIS GRONINGEN";318;33;;"999914801";;;;false;;0;;0;;"UMCG";;;"HANZEPLEIN 1";;1.80878e+07;0;0;-0.000349043
244;122;0;;;"HES";0;15600.7;0;;"NIJMEGEN";0;"NL";0;0;;false;;0;false;0;0;"STICHTING KATHOLIEKE UNIVERSITEIT";575;90;;"999992110";;;;false;;0;;0;;"RUNMC";;;"GEERT GROOTEPLEIN NOORD 9";;5.94287e+07;0;0;0.0105189
514;257;0;;;"HES";0;122720;0;;"LONDON";0;"UK";0;0;;false;;0;false;0;0;"UNIVERSITY COLLEGE LONDON";1169;240;;"999975620";;;;false;;0;;0;;"UCL";;;"GOWER STREET";;1.60721e+08;0;0;0.019458
8;4;0;;;"OTH";0;2.05635;0;;"BRUXELLES";0;"BE";0;0;;false;;0;false;0;0;"EUROCITIES ASBL";75;7;;"999450559";;;;false;;0;;0;;"EUROCITIES";;;"SQUARE DE MEEUS 1";;2.76923e+06;0;0;0.010083
32;16;0;;;"PUB";0;1019.36;0;;"LONDON";0;"UK";0;0;;false;;0;false;0;0;"TRANSPORT FOR LONDON*TFL";163;6;;"999430189";;;;false;;0;;0;;"TFL";;;"VICTORIA ST 42-50 WINDSOR HOUSE";;866259;0;0;-0.0144946
8;4;0;;;"PRC";0;4263.36;0;;"LONDON";0;"UK";0;0;;false;;0;false;0;0;"VECTOS (SOUTH) LIMITED";121;6;;"952629338";;;;false;;0;;0;;"VECTOS";;;"TOTTENHAM COURT ROAD 97 NETWORK BUILDING";;1.61751e+06;0;0;-0.0101912
4;2;0;;;"PRC";0;0;0;;"BUCURESTI";0;"RO";0;0;;false;;0;false;0;0;"EUROPEAN INTEGRATED PROJECT";79;4;;"986593888";;;;false;;0;;0;;"EIP";;;"BULEVARD ION MIHALACHE 327 BL 12 SC B ET 6 AP 59 SECTOR 1";;601926;0;0;-0.0237019
24;12;0;;;"HES";0;318.1;0;;"PARIS";0;"FR";0;0;;false;;0;false;0;0;"FONDATION NATIONALE DES SCIENCES POLITIQUES";98;15;;"999957869";;;;false;;0;;0;;"Sciences Po";;;"Rue Saint-Guillaume 27";;5.85988e+06;0;0;-0.00373619
50;25;0;;;"HES";0;8319.83;0;;"WIEN";0;"AT";0;0;;false;;0;false;0;0;"UNIVERSITAET FUER BODENKULTUR WIEN";388;32;;"999987357";;;;false;;0;;0;;"BOKU";;;"GREGOR MENDEL STRASSE 33";;1.30134e+07;0;0;0.00557154
22;11;0;;;"PUB";0;3211.74;0;;"VALBY";0;"DK";0;0;;false;;0;false;0;0;"KOBENHAVNS KOMMUNE";184;10;;"974788115";;;;false;;0;;0;;"KOBENHAVNS KOMMUNE";;;"OTTILIAVEJ 1";;4.09709e+06;0;0;0.00751827
2;1;0;;;"PUB";0;0;0;;"SKOPJE";0;"MK";0;0;;false;;0;false;0;0;"CITY OF SKOPJE";50;3;;"989434048";;;;false;;0;;0;;"SKOPJE";;;"BOULEVARD ILINDEN 82 SKOPJE CENTER";;204712;0;0;-0.0292333
282;141;0;;;"HES";0;32279.1;0;;"DRESDEN";0;"DE";0;0;;false;;0;false;0;0;"TECHNISCHE UNIVERSITAET DRESDEN";741;82;;"999897729";;;;false;;0;;0;;"TUD";;;"HELMHOLTZSTRASSE  10";;4.74275e+07;0;0;-0.000754182
222;111;0;;;"HES";0;18146.1;0;;"AMSTERDAM";0;"NL";0;0;;false;;0;false;0;0;"UNIVERSITEIT VAN AMSTERDAM";487;98;;"999985708";;;;false;;0;;0;;"UVA";;;"SPUI 21";;6.90697e+07;0;0;0.00101351
60;30;0;;;"HES";0;5274.26;0;;"COVENTRY";0;"UK";0;0;;false;;0;false;0;0;"THE UNIVERSITY OF WARWICK";259;85;;"999976784";;;;false;;0;;0;;"WARWICK";;;"Kirby Corner Road - University House";;5.15652e+07;0;0;0.0191333
2;1;0;;;"PRC";0;0;0;;"Regensburg";0;"DE";0;0;;false;;0;false;0;0;"OSRAM OLED GMBH";9;2;;"935840481";;;;false;;0;;0;;"OSRAM OLED GMBH";;;"Wernerwerkstraße 2";;1.71324e+06;0;0;0.0564481
1016;508;0;;;"REC";0;468603;0;;"ROMA";0;"IT";0;0;;false;;0;false;0;0;"CONSIGLIO NAZIONALE DELLE RICERCHE";1867;244;;"999979500";;;;false;;0;;0;;"CNR";;;"PIAZZALE ALDO MORO 7";;1.12355e+08;0;0;0.0163659
2;1;0;;;"PRC";0;0;0;;"REGENSBURG";0;"DE";0;0;;false;;0;false;0;0;"OSRAM OPTO SEMICONDUCTORS GMBH";9;2;;"999788992";;;;false;;0;;0;;"OS";;;"LEIBNIZSTRASSE 4";;0;0;0;-0.166667
16;8;0;;;"REC";0;113.481;0;;"ZAMUDIO";0;"ES";0;0;;false;;0;false;0;0;"FUNDACION GAIKER";101;6;;"999615071";;;;false;;0;;0;;"GAIKER";;;"Parque Tecnologico de Zamudio, Edificio 202";;1.7954e+06;0;0;-0.0192382
250;125;0;;;"HES";0;19347.5;0;;"UPPSALA";0;"SE";0;0;;false;;0;false;0;0;"UPPSALA UNIVERSITET";587;76;;"999985029";;;;false;;0;;0;;"UU";;;"SANKT OLOFSGATAN 10 B";;4.61556e+07;0;0;-0.00916204
1408;704;0;;;"REC";0;1.18555e+06;0;;"MUNCHEN";0;"DE";0;0;;false;;0;false;0;0;"FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.";3143;403;;"999984059";;;;false;;0;;0;;"Fraunhofer";;;"HANSASTRASSE 27C";;2.2223e+08;0;0;0.0228752
4;2;0;;;"PRC";0;0;0;;"AJANGIZ";0;"ES";0;0;;false;;0;false;0;0;"MAIER SCOOP";83;6;;"998473090";;;;false;;0;;0;;"MAIER";;;"POLIGONO INDUSTRIAL ARABIETA S/N";;2.25393e+06;0;0;-0.00942885
46;23;0;;;"REC";0;9210.49;0;;"CAPARICA";0;"PT";0;0;;false;;0;false;0;0;"UNINOVA-INSTITUTO DE DESENVOLVIMENTO DE NOVAS TECNOLOGIAS-ASSOCIACAO";245;22;;"999633889";;;;false;;0;;0;;"UNINOVA";;;"CAMPUS DA CAPARICA QUINTA DA TORRE";;9.97602e+06;0;0;0.0131717
12;6;0;;;"PRC";0;166.372;0;;"ESPOO";0;"FI";0;0;;false;;0;false;0;0;"PICOSUN OY";104;7;;"999503812";;;;false;;0;;0;;"PICOSUN OY";;;"TIETOTIE 3";;2.02311e+06;0;0;-0.0244879
18;9;0;;;"REC";0;211.388;0;;"SAN SEBASTIAN";0;"ES";0;0;;false;;0;false;0;0;"FUNDACION CIDETEC";134;13;;"999461229";;;;false;;0;;0;;"CIDE";;;"PASEO MIRAMON 196 PARQUE TECNOLOGICO DE MIRAMON";;7.61856e+06;0;0;0.0269356
12;6;0;;;"PUB";0;117.117;0;;"BIRMINGHAM";0;"UK";0;0;;false;;0;false;0;0;"BIRMINGHAM CITY COUNCIL";109;9;;"999624480";;;;false;;0;;0;;"BIR";;;"COUNCIL HOUSE, VICTORIA SQUARE";;1.30871e+06;0;0;-0.0247709
2;1;0;;;"REC";0;0;0;;"Wroclaw";0;"PL";0;0;;false;;0;false;0;0;"Wroclawskie Centrum Badan EIT+ Sp z o.o";36;3;;"998224188";;;;false;;0;;0;;"WRC EIT+";;;"UL. STABLOWICKA 147";;225937;0;0;-0.0420294
60;30;0;;;"OTH";0;24156.3;0;;"Freiburg";0;"DE";0;0;;false;;0;false;0;0;"ICLEI EUROPEAN SECRETARIAT GMBH (ICLEI EUROPASEKRETARIAT GMBH)*";297;22;;"998341364";;;;false;;0;;0;;"ICLEI EURO";;;"Leopoldring 3";;7.86199e+06;0;0;0.00952569
14;7;0;;;"HES";0;37.9949;0;;"PRAHA 8";0;"CZ";0;0;;false;;0;false;0;0;"FYZIKALNI USTAV AV CR V.V.I";69;11;;"999873867";;;;false;;0;;0;;"IoP-PALS";;;"NA SLOVANCE 2";;2.73031e+06;0;0;-0.0202543
210;105;0;;;"REC";0;13845;0;;"SWINDON";0;"UK";0;0;;false;;0;false;0;0;"SCIENCE AND TECHNOLOGY FACILITIES COUNCIL";360;43;;"999980179";;;;false;;0;;0;;"STFC";;;"Polaris House North Star Avenue";;1.9287e+07;0;0;-0.0086586
