"K-Core","TentativeSIC","acronym","activityType","barPower","betwCentrality","birthDate","call","city","commDate","country","ecContribution","ecMaxContribution","endDate","endOfParticipation","fundingScheme","intimacy","manager","moneyTogether","myMoney","name","numPartners","numProjects","objective","orgId","organizationUrl","postCode","programme","projectNode","projectUrl","projectsTogether","rcn","relationshipValue","role","shortName","startDate","status","street","topics","totMoney","totalCost","wBarPower","weightedBarPower"
0,,,"PRC",0,0,0,,"LEICESTER",0,"UK",0,0,,false,,0,false,0,0,"GUIDANCE NAVIGATION HOLDINGS LTD",0,1,,"934307396",,,,false,,0,,0,,"Guidance Navigation Holdings Ltd",,,"4 DOMINUS WAY MERIDIAN BUSINESS PARK",,50000,0,0,0
136,,,"HES",0,6414.49,0,,"PLYMOUTH",0,"UK",0,0,,false,,0,false,0,0,"UNIVERSITY OF PLYMOUTH",241,25,,"999854661",,,,false,,0,,0,,"UOP",,,"DRAKE CIRCUS",,7.66444e+06,0,0,-0.010352
2,,,"PRC",0,0,0,,"Darmstadt",0,"DE",0,0,,false,,0,false,0,0,"JOECKEL BERNHARD",1,1,,"938626030",,,,false,,0,,0,,"Bernhard Jöckel",,,"GOETHESTRASSE 4A",,50000,0,0,0.5
2,,,"PRC",0,0,0,,"OSTRACH",0,"DE",0,0,,false,,0,false,0,0,"LIMBACH STEFAN",1,1,,"938030935",,,,false,,0,,0,,"Stefan Limbach",,,"AM DORFPLATZ 4",,0,0,0,-0.5
0,,,"PRC",0,0,0,,"BARCELONA",0,"ES",0,0,,false,,0,false,0,0,"SENSE4CARE SL",0,1,,"941002530",,,,false,,0,,0,,"S4C",,,"CALLE JORDI GIRONA 1-3 EDIFICIO K2M PARC UPC",,50000,0,0,0
218,,,"HES",0,95.0965,0,,"BERLIN",0,"DE",0,0,,false,,0,false,0,0,"HUMBOLDT-UNIVERSITAET ZU BERLIN",181,22,,"999850781",,,,false,,0,,0,,"UBER",,,"UNTER DEN LINDEN  6",,1.53921e+07,0,0,0.00372283
150,,,"HES",0,3448.03,0,,"YORK NORTH YORKSHIRE",0,"UK",0,0,,false,,0,false,0,0,"UNIVERSITY OF YORK",237,50,,"999978336",,,,false,,0,,0,,"UoY",,,"HESLINGTON",,2.47888e+07,0,0,0.0332179
4,,,"OTH",0,0,0,,"Berlin",0,"DE",0,0,,false,,0,false,0,0,"GEISTESWISSENSCHAFTLICHE ZENTREN BERLIN E.V.",2,1,,"997785748",,,,false,,0,,0,,"GWZ BERLIN",,,"SCHUTZENSTRASSE 18",,587789,0,0,0.319875
146,,,"REC",0,2203.47,0,,"BARCELONA",0,"ES",0,0,,false,,0,false,0,0,"FUNDACIO CENTRE DE REGULACIO GENOMICA",177,27,,"999544455",,,,false,,0,,0,,"CRG",,,"CARRER DOCTOR AIGUADER 88",,1.98413e+07,0,0,0.0407875
134,,,"HES",0,945.496,0,,"LONDON",0,"UK",0,0,,false,,0,false,0,0,"LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE",238,39,,"999861063",,,,false,,0,,0,,"LSE",,,"Houghton Street 1",,2.47373e+07,0,0,-0.0164779
0,,,"PRC",0,0,0,,"REDHILL SURREY",0,"UK",0,0,,false,,0,false,0,0,"ATC GROUP LIMITED",0,1,,"934386548",,,,false,,0,,0,,"ATC GROUP LTD",,,"UNIT 17 PERRYWOOD BUSINESS PARK HONEYCROCK LANE SALFORDS",,50000,0,0,0
0,,,"PRC",0,0,0,,"ISTANBUL",0,"TR",0,0,,false,,0,false,0,0,"PROMATEK DENIZCILIK TEKNOLOJILERI VE MUHENDISLIK COZUMLERI SANAYI VE TTICARET LIMITED SIRKETI",0,1,,"951458063",,,,false,,0,,0,,"PROMATECH",,,"SANAYI MAH TEKNOPARK BULVARI A1 BLOK NO 1/1A/332",,1.26219e+06,0,0,0
26,,,"PRC",0,0,0,,"BERGEN",0,"NO",0,0,,false,,0,false,0,0,"MOBILETECH AS",13,2,,"941003888",,,,false,,0,,0,,"MT",,,"NORDRE NOESTEKAI 1",,90354.1,0,0,-0.0293249
124,,,"HES",0,42.21,0,,"BREMEN",0,"DE",0,0,,false,,0,false,0,0,"JACOBS UNIVERSITY BREMEN GGMBH",124,9,,"999897147",,,,false,,0,,0,,"JacobsUni",,,"Campus Ring  1",,6.25106e+06,0,0,0.00999709
128,,,"REC",0,2248.3,0,,"PLYMOUTH",0,"UK",0,0,,false,,0,false,0,0,"PLYMOUTH MARINE LABORATORY",138,8,,"999484024",,,,false,,0,,0,,"PML",,,"Prospect Place, The Hoe",,3.05774e+06,0,0,-0.00381389
32,,,"PRC",0,0,0,,"KAISARIANI",0,"EL",0,0,,false,,0,false,0,0,"COMMUNICATION & INFORMATION TECHNOLOGIES EXPERTS ANONYMOS ETAIREIA SYMVOULEFTIKON KAI ANAPTYXIAKON YPIRESION",19,2,,"943112571",,,,false,,0,,0,,"CITE",,,"ETHNIKIS ANTISTASEOS 178",,538438,0,0,-0.0301774
136,,,"OTH",0,2715.45,0,,"READING",0,"UK",0,0,,false,,0,false,0,0,"EUROPEAN CENTRE FOR MEDIUM-RANGE WEATHER FORECASTS",234,18,,"999916741",,,,false,,0,,0,,"ECMWF",,,"SHINFIELD PARK",,1.05116e+07,0,0,0.0289809
12,,,"PRC",0,0,0,,"BREMEN",0,"DE",0,0,,false,,0,false,0,0,"RASDAMAN GMBH",6,1,,"972352251",,,,false,,0,,0,,"RASDAMAN",,,"HANS HERMANN SIELING STRASSE 17",,387500,0,0,-0.00640113
