GC,weightedBarPower,numProjects,stablePartners,activityType,betwCentrality
True,-0.010352,25.0,25.0,HES,6414.49
True,0.00372283,22.0,21.0,HES,95.0965
True,0.0332179,50.0,28.0,HES,3448.03
True,0.0407875,27.0,40.0,REC,2203.47
True,-0.0164779,39.0,23.0,HES,945.496
True,0.00999709,9.0,9.0,HES,42.21
True,-0.00381389,8.0,27.0,REC,2248.3
True,0.0289809,18.0,53.0,OTH,2715.45
True,-0.0105031,3.0,1.0,PRC,0.0
True,0.0162385,496.0,573.0,REC,514111.0
True,0.0225312,77.0,85.0,HES,26706.6
True,-0.00840559,25.0,40.0,HES,4958.07
True,-0.000349043,33.0,57.0,HES,3199.45
True,0.0105189,90.0,122.0,HES,15600.7
True,0.019458,240.0,257.0,HES,122720.0
True,0.010083,7.0,4.0,OTH,2.05635
True,-0.0144946,6.0,16.0,PUB,1019.36
True,-0.0101912,6.0,4.0,PRC,4263.36
True,-0.0237019,4.0,2.0,PRC,0.0
True,-0.00373619,15.0,12.0,HES,318.1
True,0.00557154,32.0,25.0,HES,8319.83
True,0.00751827,10.0,11.0,PUB,3211.74
True,-0.0292333,3.0,1.0,PUB,0.0
True,-0.000754182,82.0,141.0,HES,32279.1
True,0.00101351,98.0,111.0,HES,18146.1
True,0.0191333,85.0,30.0,HES,5274.26
True,0.0163659,244.0,508.0,REC,468603.0
True,-0.0192382,6.0,8.0,REC,113.481
True,-0.00916204,76.0,125.0,HES,19347.5
True,0.0228752,403.0,704.0,REC,1185550.0
True,-0.00942885,6.0,2.0,PRC,0.0
True,0.0131717,22.0,23.0,REC,9210.49
True,-0.0244879,7.0,6.0,PRC,166.372
True,0.0269356,13.0,9.0,REC,211.388
True,-0.0247709,9.0,6.0,PUB,117.117
True,-0.0420294,3.0,1.0,REC,0.0
True,0.00952569,22.0,30.0,OTH,24156.3
True,-0.0202543,11.0,7.0,HES,37.9949
True,-0.0086586,43.0,105.0,REC,13845.0
True,0.01745,26.0,25.0,HES,8574.12
True,-0.00272755,91.0,172.0,HES,63557.5
True,-0.00762957,16.0,25.0,HES,11270.3
True,0.0106866,20.0,33.0,HES,3251.32
True,0.0778926,19.0,4.0,REC,6.4173
True,0.00672516,46.0,48.0,HES,4967.3
True,-0.00166096,10.0,10.0,HES,6476.5
True,0.0189709,67.0,60.0,HES,32799.9
True,0.0251942,10.0,14.0,PRC,223.336
True,0.0240348,5.0,2.0,PRC,0.0
True,0.000576227,12.0,12.0,PRC,1166.63
True,0.0297372,12.0,4.0,HES,73.6582
True,0.000546073,7.0,8.0,PRC,5940.14
True,0.00464839,8.0,11.0,REC,26.9601
True,0.0112044,13.0,27.0,REC,3518.24
True,0.00345294,8.0,17.0,REC,108.497
True,-0.02553,6.0,6.0,PRC,28.5551
True,0.0168935,61.0,41.0,HES,10398.6
True,-0.0113623,3.0,4.0,OTH,0.614217
True,0.00459687,233.0,402.0,REC,235096.0
True,-0.0194832,5.0,16.0,OTH,14.6062
True,0.00263554,24.0,24.0,REC,4557.34
True,-0.00397812,13.0,5.0,HES,3.7787
True,-0.000456324,10.0,28.0,REC,448.01
True,-0.0117774,3.0,11.0,OTH,4.02423
True,-0.000322097,21.0,74.0,REC,9791.7
True,-0.0121149,27.0,34.0,HES,15927.3
True,0.0397674,159.0,343.0,REC,346841.0
True,0.00432931,4.0,2.0,REC,6270.0
True,0.0108059,3.0,2.0,REC,3136.0
True,0.0107458,69.0,66.0,HES,35342.7
True,0.0196492,113.0,107.0,HES,32074.4
True,0.0351677,15.0,1.0,HES,0.0
True,0.0161789,30.0,31.0,HES,12791.9
True,0.00421538,103.0,131.0,HES,39370.5
True,0.016977,36.0,53.0,REC,20498.0
True,-0.0438124,4.0,11.0,PUB,9402.0
True,0.0404845,26.0,71.0,PUB,23439.6
True,-0.0259858,20.0,63.0,OTH,2315.47
True,0.0455152,9.0,34.0,PUB,8044.61
True,-0.0205787,28.0,80.0,OTH,8985.35
True,-0.00479528,11.0,27.0,OTH,167.296
True,0.0147062,9.0,15.0,PUB,270.161
True,0.0357895,22.0,50.0,REC,10899.5
True,-0.0166772,12.0,37.0,REC,683.208
True,0.0142685,42.0,129.0,PUB,37249.4
True,-0.0357686,12.0,31.0,PUB,427.0
True,0.00071332,30.0,89.0,PUB,7849.13
True,-0.0230192,20.0,35.0,REC,3611.01
True,0.00719237,8.0,19.0,OTH,27.7382
True,0.0136569,18.0,55.0,PUB,2119.28
True,-0.0226056,63.0,173.0,PUB,64017.8
True,0.0536564,45.0,86.0,REC,17176.6
True,0.00103954,14.0,22.0,PRC,774.796
True,0.0407519,5.0,2.0,OTH,0.414729
True,-0.00778655,41.0,71.0,HES,10975.4
True,-0.0259915,4.0,3.0,PRC,0.0
